EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,accX,accY,accZ,oriX,oriY,oriZ,oriW,gyrX,gyrY,gyrZ,Class,Subject
-4,-4,0,2,1,-3,-2,-2,0.053710938,-0.577148438,0.793457031,-0.170959473,0.181274414,-0.811401367,0.528808594,-19.3125,41.625,-2.875,1,1
-4,2,-2,4,2,-1,-4,2,0.042480469,-0.51171875,0.747070313,-0.167785645,0.187561035,-0.811645508,0.52722168,-14.8125,34.375,0.1875,1,1
-2,-2,0,0,-2,-8,-6,2,-0.022460938,-0.465820313,0.747070313,-0.165039063,0.193847656,-0.810791016,0.527038574,-19.3125,26.5625,7.75,1,1
-2,-1,2,1,-3,-4,-3,-7,-0.004882813,-0.584960938,0.7890625,-0.163452148,0.199768066,-0.809875488,0.526733398,-15.9375,21.25,6.1875,1,1
-5,-1,-4,-2,-2,-4,-6,4,0.079589844,-0.534179688,0.786621094,-0.16204834,0.202453613,-0.809692383,0.526428223,-3.9375,16.875,4.0625,1,1
-2,-5,-7,-2,-3,-4,-1,-4,0.0234375,-0.44921875,0.826171875,-0.159545898,0.203796387,-0.809387207,0.527160645,0.0625,13.375,8.25,1,1
-4,-3,1,-8,-4,-3,-1,-5,-0.018066406,-0.480957031,0.854003906,-0.158081055,0.20526123,-0.80847168,0.528381348,-3.1875,5.6875,9.375,1,1
-2,-2,-9,-8,2,-1,-2,0,0.054199219,-0.489746094,0.83984375,-0.15826416,0.205871582,-0.807495117,0.529663086,-2.9375,-0.25,10,1,1
-4,-2,0,1,-1,-7,-6,2,0.048339844,-0.450683594,0.827148438,-0.15802002,0.205383301,-0.806335449,0.531677246,1.6875,-3.0625,13.0625,1,1
-3,-5,-7,1,1,-2,-3,-10,0.022949219,-0.454589844,0.877441406,-0.156921387,0.204467773,-0.805358887,0.533813477,5.375,-1.8125,12.875,1,1
-1,0,-2,0,-2,-6,-4,-2,0.067871094,-0.46875,0.870605469,-0.15612793,0.202880859,-0.804870605,0.535461426,8.9375,-1.4375,9.9375,1,1
